Open,High,Low,Close,Volume
106.805,106.839,106.06,106.149,16096
106.146,106.572,105.724,106.011,49935
106.01,106.302,105.621,106.189,51493
106.19,106.388,104.498,104.723,54933
104.726,104.819,103.535,104.394,78259
104.394,104.447,104.068,104.081,32668
104.663,104.839,104.397,104.548,16068
104.547,104.797,103.57,103.98,38576
103.973,105.042,103.97,104.441,37265
104.44,104.968,104.305,104.634,34144
104.63,106.789,98.887,100.802,266203
100.802,103.237,100.439,102.1,161331
101.509,102.465,101.44,101.897,43649
101.893,102.201,101.386,102.046,67068
102.043,102.834,101.77,102.407,43578
102.405,103.01,102.164,102.753,33705
102.754,103.382,102.346,102.822,45096
102.826,102.922,102.409,102.444,21867
102.593,102.795,102.41,102.779,8949
102.774,102.788,101.995,102.162,20290
102.166,102.166,100.573,100.889,38237
100.893,101.458,100.192,100.937,44834
100.932,101.222,100.237,100.366,30549
100.37,101.269,99.983,100.511,36094
100.596,100.867,100.5,100.7,10360
100.702,103.278,100.676,103.13,46207
103.134,104.978,102.873,104.476,58611
104.474,104.856,103.891,104.634,53666
104.638,106.308,104.526,106.076,73163
106.076,106.284,104.611,104.808,52719
105.316,105.993,105.303,105.545,19843
105.539,106.323,105.263,105.877,34663
105.877,106.528,105.636,105.966,40543
105.969,107.487,105.908,107.101,40229
107.105,107.258,105.401,105.867,66494
105.866,106.394,105.629,106.065,27246
106.089,106.717,106.058,106.295,12959
106.291,106.41,104.62,104.813,32324
104.813,106.537,103.986,105.971,55995
105.97,106.104,104.613,104.849,66218
104.845,105.592,102.668,103.494,126355
103.498,103.964,101.962,102.018,69790
102.283,102.679,101.965,102.493,16505
102.494,102.822,102.107,102.465,29032
102.469,102.577,100.672,100.833,44784
100.835,101.564,100.743,101.197,35451
101.195,101.66,100.993,101.167,26764
101.163,102.057,100.868,101.77,22580
101.951,102.25,101.837,102.007,10474
102.01,102.649,101.95,102.334,18243
102.336,102.499,101.147,101.345,21780
101.348,101.551,100.96,101.448,22893
101.45,102.198,101.162,102.008,20554
102.013,102.262,100.821,101.265,25363
101.135,101.447,101.078,101.254,7751
