Date,CURRFX.AUDCHF.1
2011-11-21,0.92028
2011-11-18,0.926702
2011-11-17,0.929248
2011-11-16,0.928067
2011-11-15,0.925919
2011-11-14,0.9236
2011-11-11,0.922936
2011-11-10,0.927937
2011-11-09,0.929794
2011-11-08,0.924235
2011-11-07,0.915568
2011-11-04,0.913064
2011-11-03,0.917641
2011-11-02,0.920996
2011-11-01,0.922435
2011-10-31,0.923161
2011-10-28,0.918517
2011-10-27,0.915194
2011-10-26,0.920027
2011-10-25,0.917579
2011-10-24,0.917261
2011-10-21,0.922024
2011-10-20,0.921501
2011-10-19,0.917795
2011-10-18,0.920999
2011-10-17,0.918844
2011-10-14,0.910725
2011-10-13,0.905265
2011-10-12,0.903556
2011-10-11,0.904939
2011-10-10,0.901735
2011-10-07,0.890065
2011-10-06,0.878835
2011-10-05,0.875115
2011-10-04,0.878084
2011-10-03,0.878021
2011-09-30,0.881439
2011-09-29,0.887845
2011-09-28,0.888019
2011-09-27,0.885043
2011-09-26,0.889804
2011-09-23,0.903348
2011-09-22,0.910307
2011-09-21,0.905641
2011-09-20,0.905086
2011-09-19,0.903645
2011-09-16,0.899596
2011-09-15,0.905268
2011-09-14,0.912766
2011-09-13,0.920271
2011-09-12,0.922446
2011-09-09,0.914547
2011-09-08,0.893199
2011-09-07,0.853935
2011-09-06,0.834972
2011-09-05,0.845786
2011-09-02,0.86181
2011-09-01,0.869407
2011-08-31,0.86923
2011-08-30,0.859445
2011-08-29,0.844727
2011-08-26,0.831386
2011-08-25,0.829251
2011-08-24,0.823878
2011-08-23,0.819339
2011-08-22,0.821472
2011-08-19,0.830115
2011-08-18,0.828425
2011-08-17,0.821918
2011-08-16,0.815573
2011-08-15,0.787956
2011-08-12,0.754633
2011-08-11,0.750606
2011-08-10,0.76597
2011-08-09,0.790929
2011-08-08,0.807714
2011-08-05,0.82325
2011-08-04,0.833987
2011-08-03,0.855097
2011-08-02,0.866935
2011-08-01,0.872623
2011-07-29,0.88405
2011-07-28,0.881048
2011-07-27,0.876329
2011-07-26,0.880712
2011-07-25,0.886314
2011-07-22,0.882846
2011-07-21,0.87937
2011-07-20,0.870057
2011-07-19,0.865547
2011-07-18,0.870382
2011-07-15,0.878425
2011-07-14,0.884221
2011-07-13,0.888859
2011-07-12,0.896393
2011-07-11,0.901574
2011-07-08,0.902262
2011-07-07,0.901222
2011-07-06,0.907539
2011-07-05,0.911566
2011-07-04,0.906553
2011-07-01,0.890578
2011-06-30,0.879338
2011-06-29,0.87315
2011-06-28,0.873185
2011-06-27,0.87784
2011-06-24,0.886866
2011-06-23,0.891395
2011-06-22,0.893379
2011-06-21,0.897393
2011-06-20,0.899916
2011-06-17,0.900268
2011-06-16,0.900538
2011-06-15,0.891846
2011-06-14,0.888041
2011-06-13,0.888813
2011-06-10,0.890141
2011-06-09,0.89252
2011-06-08,0.895966
2011-06-07,0.895861
2011-06-06,0.894772
2011-06-03,0.900922
2011-06-02,0.908549
2011-06-01,0.910313
2011-05-31,0.910099
2011-05-30,0.913757
2011-05-27,0.921114
2011-05-26,0.924941
2011-05-25,0.93039
2011-05-24,0.93221
2011-05-23,0.9367
2011-05-20,0.937471
2011-05-19,0.935411
2011-05-18,0.937139
2011-05-17,0.940948
2011-05-16,0.943735
2011-05-13,0.947154
2011-05-12,0.95079
2011-05-11,0.943971
2011-05-10,0.9412
2011-05-09,0.934128
2011-05-06,0.925568
2011-05-05,0.93576
2011-05-04,0.944589
2011-05-03,0.949171
2011-05-02,0.950192
2011-04-29,0.950131
2011-04-28,0.94619
2011-04-27,0.945788
2011-04-26,0.949243
2011-04-25,0.951057
2011-04-22,0.950286
2011-04-21,0.946949
2011-04-20,0.942259
2011-04-19,0.942921
2011-04-18,0.941606
2011-04-15,0.939855
2011-04-14,0.941612
2011-04-13,0.948964
2011-04-12,0.957956
2011-04-11,0.958899
2011-04-08,0.958677
2011-04-07,0.955823
2011-04-06,0.955993
2011-04-05,0.958667
2011-04-04,0.955197
2011-04-01,0.948579
2011-03-31,0.946932
2011-03-30,0.94225
2011-03-29,0.944022
2011-03-28,0.936322
2011-03-25,0.919325
2011-03-24,0.912643
2011-03-23,0.909957
2011-03-22,0.903058
2011-03-21,0.892265
2011-03-18,0.892331
2011-03-17,0.910191
2011-03-16,0.923668
2011-03-15,0.937936
2011-03-14,0.940159
2011-03-11,0.938283
2011-03-10,0.941275
2011-03-09,0.94
2011-03-08,0.93818
2011-03-07,0.939002
2011-03-04,0.940354
2011-03-03,0.941205
2011-03-02,0.944996
2011-03-01,0.943631
2011-02-28,0.940711
2011-02-25,0.93538
2011-02-24,0.941131
2011-02-23,0.950736
2011-02-22,0.957564
2011-02-21,0.959257
2011-02-18,0.962339
2011-02-17,0.966464
2011-02-16,0.972456
2011-02-15,0.972554
2011-02-14,0.972554
2011-02-11,0.970841
2011-02-10,0.972833
2011-02-09,0.969974
2011-02-08,0.968976
2011-02-07,0.963406
2011-02-04,0.95112
2011-02-03,0.945981
2011-02-02,0.941849
2011-02-01,0.935879
2011-01-31,0.937104
2011-01-28,0.939105
2011-01-27,0.940798
2011-01-26,0.944322
2011-01-25,0.94836
2011-01-24,0.949766
2011-01-21,0.955808
2011-01-20,0.960544
2011-01-19,0.957293
2011-01-18,0.955253
2011-01-17,0.957265
2011-01-14,0.963563
2011-01-13,0.96029
2011-01-12,0.958784
2011-01-11,0.961576
2011-01-10,0.963436
2011-01-07,0.960842
2011-01-06,0.953983
2011-01-05,0.951435
2011-01-04,0.954494
2011-01-03,0.958421
2010-12-31,0.958421
2010-12-30,0.962529
2010-12-29,0.962767
2010-12-28,0.964626
2010-12-27,0.962235
2010-12-24,0.955791
2010-12-23,0.954826
2010-12-22,0.957744
2010-12-21,0.957695
2010-12-20,0.956684
2010-12-17,0.95574
2010-12-16,0.95816
2010-12-15,0.964105
2010-12-14,0.967022
2010-12-13,0.967818
2010-12-10,0.969225
2010-12-09,0.970098
2010-12-08,0.970842
2010-12-07,0.967895
2010-12-06,0.967274
2010-12-03,0.967281
2010-12-02,0.963511
2010-12-01,0.962241
2010-11-30,0.966195
2010-11-29,0.971965
2010-11-26,0.977078
2010-11-25,0.973499
2010-11-24,0.975569
2010-11-23,0.98041
2010-11-22,0.978088
2010-11-19,0.974867
2010-11-18,0.970842
2010-11-17,0.968839
2010-11-16,0.967623
2010-11-15,0.968743
2010-11-12,0.973608
2010-11-11,0.974744
2010-11-10,0.976456
2010-11-09,0.977218
2010-11-08,0.977359
2010-11-05,0.97661
2010-11-04,0.979018
2010-11-03,0.979397
2010-11-02,0.971837
2010-11-01,0.96515
2010-10-29,0.961972
2010-10-28,0.962383
2010-10-27,0.965202
2010-10-26,0.96304
2010-10-25,0.956169
2010-10-22,0.947565
2010-10-21,0.945649
2010-10-20,0.946619
2010-10-19,0.948898
2010-10-18,0.949252
