Date,CURRFX.USDCHF.1
2011-11-02,0.87938
2011-11-01,0.867629
2011-10-31,0.866579
2011-10-28,0.874627
2011-10-27,0.879302
2011-10-26,0.881396
2011-10-25,0.883316
2011-10-24,0.889121
2011-10-21,0.900072
2011-10-20,0.899429
2011-10-19,0.897774
2011-10-18,0.893923
2011-10-17,0.893934
2011-10-14,0.899341
2011-10-13,0.903957
2011-10-12,0.909562
2011-10-11,0.919272
2011-10-10,0.925986
2011-10-07,0.922927
2011-10-06,0.921325
2011-10-05,0.917735
2011-10-04,0.910679
2011-10-03,0.904251
2011-09-30,0.897237
2011-09-29,0.89825
2011-09-28,0.902508
2011-09-27,0.906097
2011-09-26,0.90519
2011-09-23,0.90071
2011-09-22,0.889347
2011-09-21,0.884401
2011-09-20,0.880322
2011-09-19,0.875236
2011-09-16,0.876139
2011-09-15,0.88005
2011-09-14,0.882925
2011-09-13,0.885309
2011-09-12,0.876738
2011-09-09,0.862193
2011-09-08,0.84631
2011-09-07,0.809498
2011-09-06,0.787775
2011-09-05,0.793023
2011-09-02,0.80506
2011-09-01,0.814126
2011-08-31,0.816341
2011-08-30,0.810656
2011-08-29,0.802492
2011-08-26,0.794157
2011-08-25,0.79137
2011-08-24,0.788549
2011-08-23,0.786782
2011-08-22,0.787974
2011-08-19,0.792003
2011-08-18,0.789315
2011-08-17,0.786379
2011-08-16,0.784258
2011-08-15,0.76366
2011-08-12,0.735353
2011-08-11,0.731867
2011-08-10,0.749165
2011-08-09,0.761303
2011-08-08,0.767874
2011-08-05,0.771311
2011-08-04,0.772292
2011-08-03,0.781457
2011-08-02,0.787341
2011-08-01,0.791996
2011-07-29,0.80168
2011-07-28,0.801974
2011-07-27,0.805099
2011-07-26,0.812185
2011-07-25,0.81911
2011-07-22,0.820935
2011-07-21,0.821026
2011-07-20,0.817803
2011-07-19,0.814855
2011-07-18,0.819834
2011-07-15,0.819834
2011-07-14,0.830404
2011-07-13,0.835476
2011-07-12,0.838591
2011-07-11,0.838591
2011-07-08,0.841322
2011-07-07,0.842616
2011-07-06,0.846839
2011-07-05,0.847721
2011-07-04,0.842808
2011-07-01,0.834735
2011-06-30,0.833143
2011-06-29,0.834289
2011-06-28,0.834903
2011-06-27,0.83591
2011-06-24,0.841577
2011-06-23,0.841577
2011-06-22,0.844673
2011-06-21,0.847772
2011-06-20,0.849627
