Date,BCB.UDJIAD1.1
2011-07-06,12626.02
2011-07-05,12569.87
2011-07-01,12582.77
2011-06-30,12414.34
2011-06-29,12261.42
2011-06-28,12188.69
2011-06-27,12043.56
2011-06-24,11934.58
2011-06-23,12050.0
2011-06-22,12109.67
2011-06-21,12190.01
2011-06-20,12080.38
2011-06-17,12004.36
2011-06-16,11961.52
2011-06-15,11897.27
2011-06-14,12076.11
2011-06-13,11952.97
2011-06-10,11951.91
2011-06-09,12124.36
2011-06-08,12048.94
2011-06-07,12070.81
2011-06-06,12089.96
2011-06-03,12151.26
2011-06-02,12248.55
2011-06-01,12290.14
2011-05-31,12569.79
2011-05-27,12441.58
2011-05-26,12402.76
2011-05-25,12394.66
2011-05-24,12356.21
2011-05-23,12381.26
2011-05-20,12512.04
2011-05-19,12605.32
2011-05-18,12560.18
2011-05-17,12479.58
2011-05-16,12548.37
2011-05-13,12595.75
2011-05-12,12695.92
2011-05-11,12630.03
2011-05-10,12760.36
2011-05-09,12684.68
2011-05-06,12638.74
2011-05-05,12584.17
2011-05-04,12723.58
2011-05-03,12807.51
2011-05-02,12807.36
2011-04-29,12810.54
2011-04-28,12763.31
2011-04-27,12690.96
2011-04-26,12595.37
2011-04-25,12479.88
2011-04-21,12505.99
2011-04-20,12453.54
2011-04-19,12266.75
2011-04-18,12201.59
2011-04-15,12341.83
2011-04-14,12285.15
2011-04-13,12270.99
2011-04-12,12263.58
2011-04-11,12381.11
2011-04-08,12380.05
2011-04-07,12409.49
2011-04-06,12426.75
2011-04-05,12393.9
2011-04-04,12400.03
2011-04-01,12376.72
2011-03-31,12319.73
2011-03-30,12350.61
2011-03-29,12279.01
2011-03-28,12197.88
2011-03-25,12220.59
2011-03-24,12170.56
2011-03-23,12086.02
2011-03-22,12018.63
2011-03-21,12036.53
2011-03-18,11858.52
2011-03-17,11774.59
2011-03-16,11613.3
2011-03-15,11855.42
2011-03-14,11993.16
2011-03-11,12044.4
2011-03-10,11984.61
2011-03-09,12213.09
2011-03-08,12214.38
2011-03-07,12090.03
2011-03-04,12169.88
2011-03-03,12258.2
2011-03-02,12066.8
2011-03-01,12058.02
2011-02-28,12226.34
2011-02-25,12130.45
2011-02-24,12068.5
2011-02-23,12105.78
2011-02-22,12212.79
2011-02-18,12391.25
2011-02-17,12318.14
2011-02-16,12288.17
2011-02-15,12226.64
2011-02-14,12268.19
2011-02-11,12273.26
2011-02-10,12229.29
2011-02-09,12239.89
2011-02-08,12233.15
2011-02-07,12161.63
2011-02-04,12092.15
2011-02-03,12062.26
2011-02-02,12041.97
2011-02-01,12040.16
2011-01-31,11891.93
2011-01-28,11823.7
2011-01-27,11989.83
2011-01-26,11985.44
2011-01-25,11977.19
2011-01-24,11980.52
2011-01-21,11871.84
2011-01-20,11822.8
2011-01-19,11825.29
2011-01-18,11837.93
2011-01-14,11787.38
2011-01-13,11731.9
2011-01-12,11755.44
2011-01-11,11671.88
2011-01-10,11637.45
2011-01-07,11674.76
2011-01-06,11697.31
2011-01-05,11722.89
2011-01-04,11691.18
2011-01-03,11670.75
2010-12-31,11577.51
2010-12-30,11569.71
2010-12-29,11585.38
2010-12-28,11575.54
2010-12-27,11555.03
2010-12-23,11573.49
2010-12-22,11559.49
2010-12-21,11533.16
2010-12-20,11478.13
2010-12-17,11491.91
2010-12-16,11499.25
2010-12-15,11457.47
2010-12-14,11476.54
2010-12-13,11428.56
2010-12-10,11410.32
2010-12-09,11370.06
2010-12-08,11372.48
2010-12-07,11359.16
2010-12-06,11362.19
2010-12-03,11382.09
