Date,CURRFX.CADJPY.1
2012-07-01,78.149
2012-06-30,77.4887
2012-06-29,77.4236
2012-06-28,77.5609
2012-06-27,77.5612
2012-06-26,78.0788
2012-06-25,78.4837
2012-06-24,78.3751
2012-06-23,78.1543
2012-06-22,77.9472
2012-06-21,77.5527
2012-06-20,77.3385
2012-06-19,77.226
2012-06-18,77.0869
2012-06-17,77.0869
2012-06-16,77.1897
2012-06-15,77.3511
2012-06-14,77.3569
2012-06-13,77.3731
2012-06-12,77.5546
2012-06-11,77.4158
2012-06-10,77.2591
2012-06-09,77.1595
2012-06-08,77.0482
2012-06-07,76.1128
2012-06-06,75.3453
2012-06-05,75.0348
2012-06-04,74.9528
2012-06-03,75.1479
2012-06-02,75.8098
2012-06-01,76.7015
2012-05-31,77.3647
2012-05-30,77.6115
2012-05-29,77.4922
2012-05-28,77.4482
2012-05-27,77.4482
2012-05-26,77.489
2012-05-25,77.571
2012-05-24,77.9438
2012-05-23,78.0567
2012-05-22,77.5477
2012-05-21,77.3039
2012-05-20,77.4755
2012-05-19,78.2003
2012-05-18,79.2056
2012-05-17,79.6692
2012-05-16,79.8249
2012-05-15,79.8249
2012-05-14,79.9063
2012-05-13,79.8385
2012-05-12,79.7074
2012-05-11,79.6411
2012-05-10,79.8211
2012-05-09,80.1839
2012-05-08,80.1839
2012-05-07,80.1864
2012-05-06,80.4432
2012-05-05,81.0498
2012-05-04,81.3608
2012-05-03,81.1932
2012-05-02,81.1633
2012-05-01,81.6196
2012-04-30,81.8962
2012-04-29,81.9589
2012-04-28,82.2107
2012-04-27,82.4753
2012-04-26,82.299
2012-04-25,81.8596
2012-04-24,81.8826
2012-04-23,82.1793
2012-04-22,82.1635
2012-04-21,82.1635
2012-04-20,82.1439
2012-04-19,81.6506
2012-04-18,80.8581
2012-04-17,80.7897
2012-04-16,81.0808
2012-04-15,81.0808
2012-04-14,81.1757
2012-04-13,80.8156
2012-04-12,80.8322
2012-04-11,81.4334
2012-04-10,81.7188
2012-04-09,81.8678
2012-04-08,82.1267
2012-04-07,82.5691
2012-04-06,82.8054
2012-04-05,83.0458
2012-04-04,82.9748
2012-04-03,83.0343
2012-04-02,82.9982
2012-04-01,82.7985
2012-03-31,82.5393
2012-03-30,82.8362
2012-03-29,83.3657
2012-03-28,83.4115
2012-03-27,82.8739
2012-03-26,82.5613
2012-03-25,82.5613
2012-03-24,82.8843
2012-03-23,83.7837
2012-03-22,84.4524
2012-03-21,84.2993
2012-03-20,84.152
2012-03-19,84.1515
2012-03-18,84.1515
2012-03-17,84.2095
2012-03-16,84.2315
2012-03-15,83.8176
2012-03-14,83.1657
