Date,YAHOO.INDEX_AORD.4
2011-02-25,4924.9
2011-02-24,4901.1
2011-02-23,4935.6
2011-02-22,4947.3
2011-02-21,4990.9
2011-02-18,5026.1
2011-02-17,5026.0
2011-02-16,5018.6
2011-02-15,5019.4
2011-02-14,5023.4
2011-02-11,4970.6
2011-02-10,5001.7
2011-02-09,4995.1
2011-02-08,4983.1
2011-02-07,4964.3
2011-02-04,4958.8
2011-02-03,4919.3
2011-02-02,4897.9
2011-02-01,4852.0
2011-01-31,4850.0
2011-01-28,4872.5
2011-01-27,4907.0
2011-01-25,4909.0
2011-01-24,4888.1
2011-01-21,4860.9
2011-01-20,4892.0
2011-01-19,4944.2
2011-01-18,4911.6
2011-01-17,4872.6
2011-01-14,4908.6
2011-01-13,4901.5
2011-01-12,4831.9
2011-01-11,4814.9
2011-01-10,4818.7
2011-01-07,4812.0
2011-01-06,4831.1
2011-01-05,4820.9
2011-01-04,4849.5
2010-12-31,4846.9
2010-12-30,4886.7
2010-12-29,4871.6
2010-12-24,4868.3
2010-12-23,4888.2
2010-12-22,4869.6
2010-12-21,4862.5
2010-12-20,4829.2
2010-12-17,4853.0
2010-12-16,4868.8
2010-12-15,4853.4
2010-12-14,4850.9
2010-12-13,4841.2
2010-12-10,4830.0
2010-12-09,4827.5
2010-12-08,4791.7
2010-12-07,4816.0
2010-12-06,4779.4
2010-12-03,4780.1
2010-12-02,4761.8
2010-12-01,4676.8
2010-11-30,4676.4
2010-11-29,4706.7
2010-11-26,4690.2
2010-11-25,4683.3
2010-11-24,4673.2
2010-11-23,4676.9
2010-11-22,4731.8
2010-11-19,4717.7
2010-11-18,4722.8
2010-11-17,4705.1
2010-11-16,4782.8
2010-11-15,4773.3
2010-11-12,4778.8
2010-11-11,4810.3
2010-11-10,4779.5
2010-11-09,4820.8
2010-11-08,4855.3
2010-11-05,4872.9
2010-11-04,4817.5
2010-11-03,4793.8
2010-11-02,4773.2
2010-11-01,4770.9
2010-10-29,4733.4
2010-10-28,4752.8
2010-10-27,4720.5
2010-10-26,4761.5
2010-10-25,4780.6
2010-10-22,4719.6
2010-10-21,4696.4
2010-10-20,4694.5
2010-10-19,4727.3
2010-10-18,4723.4
2010-10-15,4758.2
2010-10-14,4765.9
2010-10-13,4691.1
2010-10-12,4686.3
2010-10-11,4762.1
2010-10-08,4740.5
2010-10-07,4746.2
2010-10-06,4738.0
2010-10-05,4660.6
2010-10-04,4678.4
2010-10-01,4634.7
2010-09-30,4636.9
2010-09-29,4694.0
2010-09-28,4717.0
2010-09-27,4722.2
2010-09-24,4651.5
2010-09-23,4680.0
2010-09-22,4674.7
2010-09-21,4664.9
2010-09-20,4677.1
2010-09-17,4685.1
2010-09-16,4650.0
2010-09-15,4702.7
2010-09-14,4669.1
2010-09-13,4654.2
2010-09-10,4600.7
2010-09-09,4621.3
2010-09-08,4578.3
2010-09-07,4613.0
2010-09-06,4615.7
2010-09-03,4577.6
2010-09-02,4563.0
2010-09-01,4526.8
2010-08-31,4438.8
2010-08-30,4483.1
2010-08-27,4404.1
2010-08-26,4389.4
2010-08-25,4356.6
2010-08-24,4418.4
2010-08-23,4460.5
2010-08-20,4462.1
2010-08-19,4509.6
2010-08-18,4503.9
2010-08-17,4503.2
2010-08-16,4465.4
2010-08-13,4480.9
