Date,CURRFX.EURUSD.1
2011-08-15,1.42322
2011-08-12,1.42454
2011-08-11,1.42792
2011-08-10,1.42484
2011-08-09,1.42883
2011-08-08,1.42849
2011-08-05,1.42483
2011-08-04,1.42448
2011-08-03,1.4275
2011-08-02,1.4367
2011-08-01,1.43739
2011-07-29,1.43777
2011-07-28,1.44611
2011-07-27,1.44294
2011-07-26,1.43686
2011-07-25,1.43309
2011-07-22,1.42448
2011-07-21,1.41702
2011-07-20,1.41153
2011-07-19,1.41036
2011-07-18,1.41733
2011-07-15,1.41476
2011-07-14,1.40306
2011-07-13,1.4035
2011-07-12,1.41769
2011-07-11,1.42813
2011-07-08,1.4343
2011-07-07,1.44147
2011-07-06,1.45029
2011-07-05,1.45318
2011-07-04,1.45118
2011-07-01,1.44502
2011-06-30,1.43621
2011-06-29,1.4269
2011-06-28,1.4192
2011-06-27,1.42133
2011-06-24,1.43026
2011-06-23,1.43769
2011-06-22,1.43233
2011-06-21,1.42811
2011-06-20,1.42518
2011-06-17,1.42177
2011-06-16,1.43738
2011-06-15,1.44114
2011-06-14,1.43553
2011-06-13,1.44315
2011-06-10,1.46011
2011-06-09,1.46386
2011-06-08,1.46319
2011-06-07,1.46258
2011-06-06,1.45476
2011-06-03,1.44094
2011-06-02,1.43977
2011-06-01,1.43432
2011-05-31,1.42968
2011-05-30,1.42549
2011-05-27,1.41155
2011-05-26,1.40728
2011-05-25,1.40683
2011-05-24,1.40932
2011-05-23,1.41957
2011-05-20,1.42642
2011-05-19,1.4222
2011-05-18,1.41582
2011-05-17,1.41259
2011-05-16,1.41516
2011-05-13,1.42616
2011-05-12,1.43476
2011-05-11,1.43577
2011-05-10,1.4351
2011-05-09,1.44772
2011-05-06,1.47888
2011-05-05,1.48314
2011-05-04,1.48204
2011-05-03,1.48213
2011-05-02,1.4814
2011-04-29,1.47736
2011-04-28,1.46488
2011-04-27,1.45856
2011-04-26,1.45705
2011-04-25,1.45666
2011-04-22,1.4525
2011-04-21,1.43859
2011-04-20,1.42887
2011-04-19,1.4362
2011-04-18,1.44397
2011-04-15,1.44653
2011-04-14,1.44664
2011-04-13,1.44483
2011-04-12,1.44598
2011-04-11,1.44062
2011-04-08,1.42939
2011-04-07,1.42535
2011-04-06,1.42092
2011-04-05,1.42297
2011-04-04,1.42113
2011-04-01,1.41419
2011-03-31,1.40959
2011-03-30,1.40809
2011-03-29,1.40711
2011-03-28,1.4096
2011-03-25,1.41362
2011-03-24,1.41817
2011-03-23,1.42051
2011-03-22,1.41824
2011-03-21,1.41064
2011-03-18,1.39624
2011-03-17,1.39505
2011-03-16,1.39503
2011-03-15,1.3937
2011-03-14,1.38895
2011-03-11,1.38682
2011-03-10,1.39138
2011-03-09,1.39575
2011-03-08,1.39892
2011-03-07,1.39481
2011-03-04,1.38572
2011-03-03,1.38091
2011-03-02,1.38034
2011-03-01,1.37723
2011-02-28,1.37603
2011-02-25,1.37498
2011-02-24,1.36839
2011-02-23,1.36498
2011-02-22,1.36862
2011-02-21,1.36525
2011-02-18,1.35601
2011-02-17,1.35184
2011-02-16,1.35034
2011-02-15,1.3517
2011-02-14,1.35886
2011-02-11,1.36612
2011-02-10,1.3647
2011-02-09,1.36075
2011-02-08,1.36457
2011-02-07,1.36457
2011-02-04,1.3777
2011-02-03,1.37947
2011-02-02,1.37063
2011-02-01,1.36298
2011-01-31,1.3647
2011-01-28,1.36999
2011-01-27,1.367
2011-01-26,1.36291
2011-01-25,1.36103
2011-01-24,1.35587
2011-01-21,1.34586
2011-01-20,1.34148
2011-01-19,1.33366
2011-01-18,1.33427
2011-01-17,1.33193
2011-01-14,1.31257
2011-01-13,1.29948
2011-01-12,1.29349
2011-01-11,1.29109
2011-01-10,1.29838
2011-01-07,1.31572
2011-01-06,1.32824
2011-01-05,1.33425
2011-01-04,1.33457
2011-01-03,1.33311
2010-12-31,1.32085
2010-12-30,1.31603
2010-12-29,1.31746
2010-12-28,1.31307
2010-12-27,1.31153
2010-12-24,1.31093
2010-12-23,1.31279
2010-12-22,1.31465
2010-12-21,1.31635
2010-12-20,1.32
2010-12-17,1.32629
2010-12-16,1.3358
2010-12-15,1.33514
2010-12-14,1.3248
2010-12-13,1.32374
2010-12-10,1.32481
2010-12-09,1.32721
2010-12-08,1.33302
2010-12-07,1.33607
2010-12-06,1.33146
2010-12-03,1.31154
2010-12-02,1.30591
2010-12-01,1.31128
2010-11-30,1.32136
2010-11-29,1.32817
2010-11-26,1.33508
2010-11-25,1.34275
2010-11-24,1.35935
2010-11-23,1.36915
2010-11-22,1.36472
2010-11-19,1.35654
2010-11-18,1.35321
2010-11-17,1.36051
2010-11-16,1.36679
2010-11-15,1.37074
2010-11-12,1.37491
2010-11-11,1.38117
2010-11-10,1.39115
2010-11-09,1.39852
2010-11-08,1.409
2010-11-05,1.41291
2010-11-04,1.4009
2010-11-03,1.39576
2010-11-02,1.39465
2010-11-01,1.39205
2010-10-29,1.38433
2010-10-28,1.38373
2010-10-27,1.39478
2010-10-26,1.39926
2010-10-25,1.39625
2010-10-22,1.39342
2010-10-21,1.38628
2010-10-20,1.38778
2010-10-19,1.39445
2010-10-18,1.40161
2010-10-15,1.40323
2010-10-14,1.39207
2010-10-13,1.38763
2010-10-12,1.39303
2010-10-11,1.39188
2010-10-08,1.39188
2010-10-07,1.38445
2010-10-06,1.37535
2010-10-05,1.37377
2010-10-04,1.37317
2010-10-01,1.36194
2010-09-30,1.35699
2010-09-29,1.3488
