Date,CURRFX.EURGBP.1
2011-05-31,0.867178
2011-05-30,0.866939
2011-05-27,0.866956
2011-05-26,0.869505
2011-05-25,0.871358
2011-05-24,0.870731
2011-05-23,0.875708
2011-05-20,0.881153
2011-05-19,0.877372
2011-05-18,0.873264
2011-05-17,0.872207
2011-05-16,0.871246
2011-05-13,0.872288
2011-05-12,0.875661
2011-05-11,0.877088
2011-05-10,0.876733
2011-05-09,0.883271
2011-05-06,0.897351
2011-05-05,0.897797
2011-05-04,0.892703
2011-05-03,0.887917
2011-05-02,0.887361
2011-04-29,0.888948
2011-04-28,0.887358
2011-04-27,0.884518
2011-04-26,0.882542
2011-04-25,0.882631
2011-04-22,0.883352
2011-04-21,0.880352
2011-04-20,0.877761
2011-04-19,0.881398
2011-04-18,0.884606
2011-04-15,0.887342
2011-04-14,0.888776
2011-04-13,0.885541
2011-04-12,0.883489
2011-04-11,0.881197
2011-04-08,0.876234
2011-04-07,0.876022
2011-04-06,0.878631
2011-04-05,0.882292
2011-04-04,0.882532
2011-04-01,0.880481
2011-03-31,0.879969
2011-03-30,0.880245
2011-03-29,0.878637
2011-03-28,0.875752
2011-03-25,0.870455
2011-03-24,0.868717
2011-03-23,0.87097
2011-03-22,0.872922
2011-03-21,0.87176
2011-03-18,0.868794
2011-03-17,0.867899
2011-03-16,0.86599
2011-03-15,0.86599
2011-03-14,0.862267
2011-03-11,0.858387
2011-03-10,0.860026
2011-03-09,0.861123
2011-03-08,0.860254
2011-03-07,0.857034
2011-03-04,0.850695
2011-03-03,0.848347
2011-03-02,0.849999
2011-03-01,0.852818
2011-02-28,0.852356
2011-02-25,0.849206
2011-02-24,0.845431
2011-02-23,0.843159
2011-02-22,0.842789
2011-02-21,0.842452
2011-02-18,0.841281
2011-02-17,0.839772
2011-02-16,0.840765
2011-02-15,0.843833
2011-02-14,0.847333
2011-02-11,0.849512
2011-02-10,0.848153
2011-02-09,0.844425
2011-02-08,0.842531
2011-02-07,0.845578
2011-02-04,0.851403
2011-02-03,0.855952
2011-02-02,0.855952
2011-02-01,0.857956
2011-01-31,0.859296
2011-01-28,0.862026
2011-01-27,0.862028
2011-01-26,0.855873
2011-01-25,0.851712
2011-01-24,0.848624
2011-01-21,0.843244
2011-01-20,0.839567
2011-01-19,0.83741
2011-01-18,0.84052
2011-01-17,0.840939
2011-01-14,0.834437
2011-01-13,0.831688
2011-01-12,0.831309
2011-01-11,0.830698
2011-01-10,0.83625
2011-01-07,0.847724
2011-01-06,0.854253
2011-01-05,0.85896
2011-01-04,0.858226
2011-01-03,0.856944
2010-12-31,0.855297
2010-12-30,0.853633
2010-12-29,0.853775
2010-12-28,0.851257
2010-12-27,0.850294
2010-12-24,0.850119
2010-12-23,0.848688
2010-12-22,0.847462
2010-12-21,0.847792
2010-12-20,0.84886
2010-12-17,0.848944
2010-12-16,0.848164
2010-12-15,0.844085
2010-12-14,0.838499
2010-12-13,0.83793
2010-12-10,0.839731
2010-12-09,0.842295
2010-12-08,0.846602
2010-12-07,0.848788
2010-12-06,0.847436
2010-12-03,0.840902
2010-12-02,0.838569
2010-12-01,0.842565
2010-11-30,0.847694
2010-11-29,0.848201
2010-11-26,0.84625
2010-11-25,0.848041
2010-11-24,0.852923
2010-11-23,0.856335
2010-11-22,0.85459
2010-11-19,0.851309
2010-11-18,0.84933
2010-11-17,0.848422
2010-11-16,0.848726
2010-11-15,0.850264
2010-11-12,0.854083
2010-11-11,0.859757
2010-11-10,0.862832
2010-11-09,0.865514
2010-11-08,0.870753
2010-11-05,0.875406
2010-11-04,0.872626
2010-11-03,0.870159
2010-11-02,0.869146
2010-11-01,0.871258
2010-10-29,0.873525
2010-10-28,0.875195
2010-10-27,0.882931
2010-10-26,0.890191
2010-10-25,0.888697
2010-10-22,0.883929
2010-10-21,0.878806
2010-10-20,0.877138
2010-10-19,0.875141
2010-10-18,0.876105
2010-10-15,0.879832
2010-10-14,0.878606
2010-10-13,0.874762
2010-10-12,0.874363
2010-10-11,0.874823
2010-10-08,0.875299
2010-10-07,0.871377
2010-10-06,0.867718
2010-10-05,0.868567
2010-10-04,0.868292
2010-10-01,0.861928
2010-09-30,0.858389
2010-09-29,0.852572
