Date,CURRFX.EURAUD.1
2011-06-08,1.36454
2011-06-07,1.36325
2011-06-06,1.36145
2011-06-03,1.3513
2011-06-02,1.34553
2011-06-01,1.3418
2011-05-31,1.33627
2011-05-30,1.33667
2011-05-27,1.33677
2011-05-26,1.33725
2011-05-25,1.33383
2011-05-24,1.33048
2011-05-23,1.33285
2011-05-20,1.34104
2011-05-19,1.34128
2011-05-18,1.33883
2011-05-17,1.33628
2011-05-16,1.33513
2011-05-13,1.3319
2011-05-12,1.32793
2011-05-11,1.33253
2011-05-10,1.33677
2011-05-09,1.3535
2011-05-06,1.37754
2011-05-05,1.36724
2011-05-04,1.35699
2011-05-03,1.35199
2011-05-02,1.35333
2011-04-29,1.35827
2011-04-28,1.3579
2011-04-27,1.35876
2011-04-26,1.35743
2011-04-25,1.35654
2011-04-22,1.35809
2011-04-21,1.36022
2011-04-20,1.36003
2011-04-19,1.36199
2011-04-18,1.36927
2011-04-15,1.37749
2011-04-14,1.38078
2011-04-13,1.37605
2011-04-12,1.37045
2011-04-11,1.36943
2011-04-08,1.37047
2011-04-07,1.37519
2011-04-06,1.37299
2011-04-05,1.37085
2011-04-04,1.37064
2011-04-01,1.36951
2011-03-31,1.37022
2011-03-30,1.37289
2011-03-29,1.37108
2011-03-28,1.37919
2011-03-25,1.39415
2011-03-24,1.40436
2011-03-23,1.41141
2011-03-22,1.41859
2011-03-21,1.42382
2011-03-18,1.41796
2011-03-17,1.40615
2011-03-16,1.39441
2011-03-15,1.37909
2011-03-14,1.37448
2011-03-11,1.3779
2011-03-10,1.37764
2011-03-09,1.37925
2011-03-08,1.37504
2011-03-07,1.37504
2011-03-04,1.36542
2011-03-03,1.36079
2011-03-02,1.3574
2011-03-01,1.35478
2011-02-28,1.35776
2011-02-25,1.36896
2011-02-24,1.3657
2011-02-23,1.35671
2011-02-22,1.35162
2011-02-21,1.35018
2011-02-18,1.35183
2011-02-17,1.35192
2011-02-16,1.34751
2011-02-15,1.34837
2011-02-14,1.35435
2011-02-11,1.35438
2011-02-10,1.34665
2011-02-09,1.34125
2011-02-08,1.33951
2011-02-07,1.34694
2011-02-04,1.36236
2011-02-03,1.36832
2011-02-02,1.37029
2011-02-01,1.37183
2011-01-31,1.37288
2011-01-28,1.37685
2011-01-27,1.37244
2011-01-26,1.3719
2011-01-25,1.37363
2011-01-24,1.36861
2011-01-21,1.35003
2011-01-20,1.34141
2011-01-19,1.34156
2011-01-18,1.34709
2011-01-17,1.34215
2011-01-14,1.32092
2011-01-13,1.31462
2011-01-12,1.30712
2011-01-11,1.2985
2011-01-10,1.30304
2011-01-07,1.31702
2011-01-06,1.32178
2011-01-05,1.31661
2011-01-04,1.30698
2011-01-03,1.30626
2010-12-31,1.30174
2010-12-30,1.30146
2010-12-29,1.30838
2010-12-28,1.30872
2010-12-27,1.30703
2010-12-24,1.30994
2010-12-23,1.3161
2010-12-22,1.32273
2010-12-21,1.33041
2010-12-20,1.33656
2010-12-17,1.34049
2010-12-16,1.34278
2010-12-15,1.34323
2010-12-14,1.34158
2010-12-13,1.34394
2010-12-10,1.34811
2010-12-09,1.34838
2010-12-08,1.34626
2010-12-07,1.34902
2010-12-06,1.35336
2010-12-03,1.35774
2010-12-02,1.35799
2010-12-01,1.36312
2010-11-30,1.37042
2010-11-29,1.36813
2010-11-26,1.36242
2010-11-25,1.37042
2010-11-24,1.38038
2010-11-23,1.38456
2010-11-22,1.3838
2010-11-19,1.38049
2010-11-18,1.38227
2010-11-17,1.38335
2010-11-16,1.38629
2010-11-15,1.3836
2010-11-12,1.37141
2010-11-11,1.37206
2010-11-10,1.3744
2010-11-09,1.37975
2010-11-08,1.39013
2010-11-05,1.40561
2010-11-04,1.40455
2010-11-03,1.40571
2010-11-02,1.41451
2010-11-01,1.41827
2010-10-29,1.41973
2010-10-28,1.41587
2010-10-27,1.40914
2010-10-26,1.41332
2010-10-25,1.42
2010-10-22,1.41847
2010-10-21,1.41245
2010-10-20,1.41245
2010-10-19,1.40976
2010-10-18,1.41203
2010-10-15,1.41367
2010-10-14,1.41145
2010-10-13,1.41155
2010-10-12,1.41424
2010-10-11,1.41533
2010-10-08,1.41847
2010-10-07,1.42581
2010-10-06,1.42493
2010-10-05,1.41697
2010-10-04,1.41444
2010-10-01,1.40612
2010-09-30,1.40276
2010-09-29,1.40207
